User ID,Birthdate,City,State Name,State Abbreviation,Zip,Available Points,Total Points Earned,Points Spent,Joined On,Last Seen,Number of Days Active,User Age
697,8/2/2000,Winston-Salem,North Carolina,NC,27106,1310,1310,0,9/10/2020,5/30/2022,627 days,23
708,12/20/2000,Winston-Salem,North Carolina,NC,27106,10940,10960,20,9/10/2020,6/4/2022,632 days,23
772,3/15/2000,Winston-Salem,North Carolina,NC,27106,2805,3005,200,9/10/2020,4/12/2022,579 days,23
807,2/3/2001,Downers Grove,Illinois,IL,60515,1595,2170,575,9/10/2020,3/24/2022,560 days,22
824,9/19/2000,Terrace Park,Ohio,OH,45174,6440,6440,0,9/10/2020,5/27/2022,624 days,23
827,6/6/2002,Lutherville,Maryland,MD,21093,600,1100,500,9/10/2020,1/22/2022,499 days,21
974,10/20/1998,Winston-Salem,North Carolina,NC,27109,790,1890,1100,9/10/2020,3/12/2022,548 days,25
1005,12/9/1998,Winston-Salem,North Carolina,NC,27106,4985,5085,100,9/10/2020,5/11/2022,608 days,25
1044,2/12/2000,Mt. Pleasant,South Carolina,SC,29466,4755,5380,625,9/10/2020,5/13/2022,610 days,23
1049,8/17/2002,Northport,New York,NY,11768,3565,3565,0,9/10/2020,2/8/2022,516 days,21
1054,11/2/2000,Pittsburgh,Pennsylvania,PA,15217,5470,6470,1000,9/10/2020,4/25/2022,592 days,23
1102,7/19/1999,Winston-Salem,North Carolina,NC,27106,2330,7830,5500,9/12/2020,5/28/2021,258 days,24
1167,4/3/1988,Winston-Salem,North Carolina,NC,27104,690,700,10,9/17/2020,10/8/2021,386 days,35
1179,12/5/2021,Bakersfield,California,CA,93312,8510,14510,6000,9/17/2020,6/25/2022,646 days,2
1243,5/14/2002,Waukegan,Illinois,IL,60085,52165,52165,0,9/26/2020,6/30/2022,642 days,21
1364,3/9/2001,Morganton,North Carolina,NC,28655,4980,4980,0,9/28/2020,6/30/2022,640 days,22
1365,4/6/2001,Locust,North Carolina,NC,28097,2700,3200,500,9/28/2020,5/26/2022,605 days,22
1406,12/8/1999,Mooresville,North Carolina,NC,28115,2165,3755,1590,9/28/2020,3/30/2022,548 days,24
1514,6/25/2001,Dallas,Texas,TX,75205,2650,3650,1000,9/29/2020,6/30/2022,639 days,22
1542,1/24/1998,Winston-Salem,North Carolina,NC,27106,2050,2800,750,9/29/2020,3/19/2022,536 days,25
1693,5/31/2002,Larchmont,New York,NY,10538,1880,1900,20,10/1/2020,6/30/2022,637 days,21
1737,1/24/2000,Winston-Salem,North Carolina,NC,27109,6930,7230,300,10/2/2020,4/19/2022,564 days,23
1740,5/5/2001,Indian Trail,North Carolina,NC,28079,14300,14400,100,10/2/2020,6/30/2022,636 days,22
1757,3/24/2000,Winston-Salem,North Carolina,NC,27106,2315,2315,0,10/3/2020,5/18/2022,592 days,23
1845,2/3/2002,Littleton,Colorado,CO,80123,4670,4970,300,10/11/2020,6/30/2022,627 days,21
1952,9/13/2002,Atlanta,Georgia,GA,30311,660,660,0,10/12/2020,2/28/2022,504 days,21
2130,9/27/2001,West Chester,Pennsylvania,PA,19382,0,700,700,10/14/2020,3/17/2022,519 days,22
2258,8/20/1998,Winston-Salem,North Carolina,NC,27106,1130,1130,0,10/19/2020,1/13/2022,451 days,25
2504,12/8/2000,Winston-Salem,North Carolina,NC,27109,3125,3150,25,10/20/2020,3/28/2022,524 days,23
2577,11/11/2001,Edina,Minnesota,MN,55439,6755,7080,325,10/21/2020,4/12/2022,538 days,22
2615,4/13/2001,Supply,North Carolina,NC,28462,2230,2530,300,2/2/2021,2/12/2022,375 days,22
2626,4/9/2001,Winston-Salem,North Carolina,NC,27109,3340,3340,0,2/24/2021,6/17/2021,113 days,22
2650,6/5/2002,Winston-Salem,North Carolina,NC,22213,10285,10585,300,2/26/2021,4/16/2022,414 days,21
2717,3/23/2001,Greensboro,North Carolina,NC,27406,2620,2620,0,3/1/2021,6/3/2022,459 days,22
2718,1/14/2000,Whitesboro,New York,NY,13492,2680,2680,0,3/1/2021,4/9/2022,404 days,24
2772,7/26/2002,Charlotte,North Carolina,NC,28269,2300,8800,6500,3/2/2021,6/26/2022,481 days,21
2778,7/4/2000,Rex,Georgia,GA,30273,16490,16790,300,3/3/2021,6/4/2022,458 days,23
2814,10/1/2000,Aurora,New York,NY,13026,1980,1980,0,3/7/2021,1/17/2022,316 days,23
2893,11/29/2000,Winston-Salem,North Carolina,NC,27106,2100,2500,400,4/8/2021,6/30/2022,448 days,23
2931,6/18/1997,Winston-Salem,North Carolina,NC,27101,430,430,0,4/15/2021,4/23/2021,8 days,26
3011,6/21/1999,Winston-Salem,North Carolina,NC,27106,800,2800,2000,6/30/2021,3/19/2022,262 days,24
3012,2/4/1999,Winston-Salem,North Carolina,NC,27106,4780,4780,0,7/15/2021,5/3/2022,292 days,24
3013,8/3/2001,Malvern,Pennsylvania,PA,19355,5160,5160,0,7/20/2021,7/1/2022,346 days,22
3022,6/16/2003,Huntersville,North Carolina,NC,28078,1860,1860,0,8/9/2021,5/20/2022,284 days,20
3140,4/9/2003,Dallas,Texas,TX,75230,5700,6700,1000,8/19/2021,7/1/2022,316 days,20
3167,2/12/2003,Waxhaw,North Carolina,NC,28173,1160,1160,0,8/19/2021,2/7/2022,172 days,20
3180,11/29/2002,Libertyville,Illinois,IL,60048,3455,4455,1000,8/19/2021,5/4/2022,258 days,21
3226,8/23/2002,Louisville,Kentucky,KY,40222,5750,5750,0,8/19/2021,3/17/2022,210 days,21
3238,4/11/2003,Nashville,Tennessee,TN,37205,8090,8090,0,8/19/2021,4/18/2022,242 days,20
3267,2/17/2003,Gainesville,Florida,FL,32608,1540,1540,0,8/20/2021,1/21/2022,154 days,20
3350,3/8/2003,Winston-Salem,North Carolina,NC,27109,3560,3560,0,8/21/2021,4/18/2022,240 days,20
3361,2/6/2003,Nashville,Tennessee,TN,37204,5280,5280,0,8/21/2021,7/1/2022,314 days,20
3434,4/7/2003,Jamesville,New York,NY,13078,1200,1200,0,8/21/2021,2/22/2022,185 days,20
3453,5/5/2003,Memphis,Tennessee,TN,38112,4230,4230,0,8/21/2021,4/18/2022,240 days,20
3572,5/10/2003,Greensboro,North Carolina,NC,27410,9520,9520,0,8/25/2021,5/6/2022,254 days,20
3573,6/29/1998,Winston-Salem,North Carolina,NC,27101,1890,7890,6000,8/25/2021,7/1/2022,310 days,25
3579,9/18/2001,Winston-Salem,North Carolina,NC,27109,3040,3040,0,8/26/2021,5/14/2022,261 days,22
3580,6/11/2003,Palmetto Bay,Florida,FL,33157,1400,1400,0,8/26/2021,11/30/2021,96 days,20
3582,2/15/1999,Winston-Salem,North Carolina,NC,27106,8475,8475,0,8/26/2021,4/9/2022,226 days,24
3585,5/28/1998,Winston-Salem,North Carolina,NC,27106,3310,20310,17000,8/26/2021,6/13/2022,291 days,25
3598,10/22/1998,Ormond Beach,Florida,FL,32174,3680,3680,0,8/26/2021,5/2/2022,249 days,25
3678,5/23/1999,Winston-Salem,North Carolina,NC,27106,7500,13500,6000,8/26/2021,5/5/2022,252 days,24
3792,9/11/2001,Fort Myers,Florida,FL,33908,910,910,0,8/28/2021,4/7/2022,222 days,22
3793,10/28/1996,Winston-Salem,North Carolina,NC,27101,500,500,0,8/28/2021,11/8/2021,72 days,27
3997,4/19/2003,Oakwood,Ohio,OH,45419,2070,2570,500,8/30/2021,6/1/2022,275 days,20
4019,7/1/2002,Manhattan Beach,California,CA,90266,400,400,0,8/30/2021,3/2/2022,184 days,21
4096,5/25/1995,Winston-Salem,North Carolina,NC,27101,1250,1250,0,8/30/2021,3/2/2022,184 days,28
4148,2/9/1996,Winston-Salem,North Carolina,NC,27106,630,1630,1000,8/30/2021,3/30/2022,212 days,27
4268,1/21/1999,Winston-Salem,North Carolina,NC,27106,780,780,0,8/31/2021,6/17/2022,290 days,24
4276,9/25/1990,Winston-Salem,North Carolina,NC,27101,500,500,0,8/31/2021,1/22/2022,144 days,33
4332,4/30/2003,Mooresville,North Carolina,NC,28117,2350,2350,0,8/31/2021,3/22/2022,203 days,20
4344,12/31/1985,Winston-Salem,North Carolina,NC,27106,450,450,0,8/31/2021,5/9/2022,251 days,38
4452,6/19/1995,Winston-Salem,North Carolina,NC,27101,400,400,0,9/1/2021,2/19/2022,171 days,28
4548,10/5/1991,Winston-Salem,North Carolina,NC,27106,1360,1860,500,9/2/2021,3/14/2022,193 days,32
4563,1/12/1999,Winston-Salem,North Carolina,NC,27106,450,450,0,9/2/2021,1/22/2022,142 days,25
4634,4/16/1998,Winston-Salem,North Carolina,NC,27106,1060,1560,500,9/2/2021,3/18/2022,197 days,25
4795,4/26/1999,Winston-Salem,North Carolina,NC,27106,2400,5400,3000,9/3/2021,5/11/2022,250 days,24
4823,9/10/2002,Winston-Salem,North Carolina,NC,27104,1690,1690,0,9/3/2021,5/17/2022,256 days,21
4824,6/9/1999,Winston-Salem,North Carolina,NC,29204,400,400,0,9/3/2021,11/18/2021,76 days,24
4842,12/20/1988,Winston-Salem,North Carolina,NC,27106,1270,1270,0,9/3/2021,10/30/2021,57 days,35
4888,7/10/2003,Winston-Salem,North Carolina,NC,27109,450,450,0,9/3/2021,3/28/2022,206 days,20
5302,6/18/2021,San Marcos,California,CA,92078,600,600,0,9/3/2021,3/2/2022,180 days,2
5359,3/22/2003,Palm Beach Gardens,Florida,FL,33410,400,400,0,9/3/2021,2/26/2022,176 days,20
5459,5/28/2002,Winston-Salem,North Carolina,NC,27109,4800,4800,0,9/3/2021,4/13/2022,222 days,21
5529,6/26/2003,Winston-Salem,North Carolina,NC,27109,450,450,0,9/4/2021,10/26/2021,52 days,20
5574,11/8/1999,Charlotte,North Carolina,NC,28262,200,200,0,9/6/2021,9/15/2021,9 days,24
5781,12/7/1997,Winston-Salem,North Carolina,NC,27103,2640,2640,0,9/15/2021,5/4/2022,231 days,26
5816,7/20/1994,Winston-Salem,North Carolina,NC,27127,450,450,0,9/16/2021,12/9/2021,84 days,29
5818,9/30/1986,Winston-Salem,North Carolina,NC,27104,1030,1030,0,9/16/2021,6/1/2022,258 days,37
5974,5/15/1986,Winston-Salem,North Carolina,NC,27101,900,900,0,9/21/2021,2/1/2022,133 days,37
5979,12/9/1969,Winston-Salem,North Carolina,NC,27101,910,910,0,9/22/2021,5/6/2022,226 days,54
6011,8/27/1997,Winston-Salem,North Carolina,NC,27106,1280,1280,0,9/26/2021,5/26/2022,242 days,26
6046,10/8/1998,Winston-Salem,North Carolina,NC,27106,450,450,0,9/29/2021,11/13/2021,45 days,25
6118,11/8/1993,Walkertown,North Carolina,NC,27051,1580,1580,0,10/2/2021,4/18/2022,198 days,30
6119,10/31/1995,Winston-Salem,North Carolina,NC,27101,450,450,0,10/2/2021,12/2/2021,61 days,28
6135,11/12/1996,Winston-Salem,North Carolina,NC,27106,1420,2920,1500,10/6/2021,6/30/2022,267 days,27
6144,5/23/2021,Charlotte,North Carolina,NC,28205,250,750,500,10/11/2021,1/6/2022,87 days,2
6219,1/26/1995,Winston-Salem,North Carolina,NC,27101,400,400,0,10/23/2021,10/30/2021,7 days,28
6234,2/12/2002,Winston-Salem,North Carolina,NC,27109,710,710,0,10/24/2021,5/8/2022,196 days,21
6291,8/26/1997,Winston-Salem,North Carolina,NC,27106,800,800,0,10/28/2021,1/18/2022,82 days,26
6438,8/26/1993,Winston-Salem,North Carolina,NC,27106,590,590,0,11/8/2021,5/8/2022,181 days,30
6439,8/3/1995,Winston-Salem,North Carolina,NC,27103,400,400,0,11/8/2021,1/26/2022,79 days,28
6566,11/30/1997,Winston-Salem,North Carolina,NC,27101,1410,1410,0,11/13/2021,4/8/2022,146 days,26
6592,6/15/1997,Winston-Salem,North Carolina,NC,27106,960,960,0,11/13/2021,2/19/2022,98 days,26
6662,6/1/2000,Valrico,Florida,FL,33596,660,660,0,11/18/2021,5/14/2022,177 days,23
6683,7/11/1994,Clovis,New Mexico,NM,88101,410,410,0,11/27/2021,5/16/2022,170 days,29
6730,10/11/1997,Smithtown,New York,NY,11787,400,400,0,12/1/2021,12/2/2021,1 days,26
6781,4/30/1971,Charlotte,North Carolina,NC,28216,400,400,0,1/7/2022,2/3/2022,27 days,52
6825,5/30/2001,Cleveland,North Carolina,NC,27013,400,400,0,1/10/2022,2/28/2022,49 days,22
7114,4/24/1998,Winston-Salem,North Carolina,NC,27101,800,800,0,2/4/2022,2/4/2022,0 days,25
7200,7/24/2000,Winston-Salem,North Carolina,NC,27106,640,640,0,6/7/2022,7/1/2022,24 days,23
7215,1/17/2004,Rome,Georgia,GA,30165,420,420,0,6/22/2022,6/23/2022,1 days,19
7217,1/8/2004,Delhi,New York,NY,13753,460,460,0,6/22/2022,6/29/2022,7 days,20
7219,6/12/2004,Lutherville,Maryland,MD,21093,490,490,0,6/22/2022,6/30/2022,8 days,19
7220,8/7/1999,Winston-Salem,North Carolina,NC,27106,430,430,0,6/22/2022,6/26/2022,4 days,24
7227,3/14/2000,Clemmons,North Carolina,NC,27012,460,460,0,6/23/2022,6/29/2022,6 days,23
7230,5/18/1999,Winston-Salem,North Carolina,NC,27107,410,410,0,6/24/2022,6/24/2022,0 days,24
